text,label,split
tempo cowok jakarta presiden amerika serikat as donald trump telah mengumumkan komitmen indonesia untuk membeli pesawat boeing trump mengatakan rencana itu sebagai bagian dari kesepakatan dagang kedua negara setelah dirinya berdiskusi langsung dengan presiden prabowo subianto baca berita dengan sedikit iklan klik di sini indonesia telah berkomitmen untuk membeli komoditas energi as senilai us miliar produk pertanian amerika senilai us miliar dan jet boeing banyak di antaranya adalah seri tulis trump melalui unggahan di media sosial truth social pada selasa juli waktu as scroll ke bawah untuk melanjutkan membaca baca berita dengan sedikit iklan klik di sini menanggapi hal itu presiden prabowo mengungkapkan pembelian puluhan armada pesawat boeing diperlukan untuk pengembangan pt garuda indonesia persero tbk dia bertekad membesarkan maskapai pelat merah yang lahir saat masa perang kemerdekaan ri tersebut jadi garuda harus menjadi lambang indonesia kita bertekad saya bertekad untuk membesarkan garuda kata prabowo usai tiba dari kunjungan kerja ke beberapa negara di pangkalan tni angkatan udara lanud halim perdanakusuma jakarta rabu juli lantas seperti apa perkembangan pembelian pesawat boeing garuda klaim ada yang minat mendanai vice president vp corporate secretary garuda indonesia cahyadi indrananto mengatakan perseroan secara paralel sedang berkomunikasi dengan sejumlah pihak pemberi dana potensial menurut dia beberapa pihak telah menunjukkan minat mereka untuk mendanai pembelian puluhan pesawat itu baca juga boeing proyeksikan indonesia butuh unit pesawat baru ada pihak pihak yang telah menunjukkan minat untuk menyediakan pendanaan ucap cahyadi ketika dihubungi tempo pada senin juli akan tetapi dia enggan merinci pihak pihak potensial yang dimaksud seluruhnya lanjut dia tengah berproses dan belum mencapai kesepakatan akhir karena ini work ini progress saya belum dapat menyampaikan detailnya namun semoga prosesnya lancar dan nanti akan segera kami sampaikan di kesempatan pertama ujar cahyadi dia menuturkan pinjaman dana sebesar rp triliun dari badan pengelola investasi daya anagata nusantara bpi danantara pada juni lalu tidak bisa dimanfaatkan untuk membeli pesawat boeing pasalnya menurut dia dana pinjaman itu dialokasikan untuk perawatan hingga perbaikan pesawat shareholder loan dari danantara bulan juni lalu adalah hal yang berbeda kolaborasi garuda dengan danantara saat itu adalah untuk mendanai kebutuhan maintenance repair and overhaul mro pemeliharaan perbaikan dan pemeriksaan baik garuda maupun citilink kata cahyadi sedang mencari pinjaman sementara itu pada kesempatan terpisah direktur utama garuda indonesia wamildan tsani panjaitan mengatakan bahwa perusahaan kini sedang menjalin komunikasi dengan beberapa pihak untuk menghimpun dana terutama terkait rencana pembelian pesawat boeing kini garuda indonesia menggunakan dana pinjaman dari danantara sebesar rp triliun dan dana internal dia menjelaskan bahwa pembelian puluhan armada pesawat itu sejalan dengan upaya penyehatan keuangan sebagaimana termaktub dalam rancangan restrukturisasi alokasi dana tersebut lanjut dia telah disetujui oleh menteri badan usaha milik negara bumn erick thohir dan rapat umum pemegang saham luar biasa rupslb pada senin juni lalu selain itu perseroan juga secara paralel tengah menjalin komunikasi dengan sejumlah pihak pemberi dana potensial ucap wamildan dalam keterbukaan informasi bursa efek indonesia bei pada senin juli terkait progres pembelian pesawat boeing dia mengungkapkan bahwa garuda indonesia masih terus berkomunikasi dengan pabrikan asal as tersebut pembahasannya mencakup rincian kebutuhan armada yang sesuai dengan pangsa pasar garuda indonesia perseroan dan boeing tengah melakukan komunikasi secara intensif ucap wamildan dia menegaskan pembelian armada pesawat menjadi bagian dari strategi jangka panjang penyehatan keuangan garuda indonesia sekaligus transformasi bisnis melalui penguatan armada dan optimalisasi jaringan penerbangan dalam lima tahun ke depan masih dalam tahap negosiasi pada kesempatan yang lain menteri koordinator menko bidang perekonomian airlangga hartarto mengatakan rencana pembelian pesawat boeing oleh garuda indonesia masih dalam tahap negosiasi antara kedua pihak dia menyebut kedua pihak masih belum mencapai kesepakatan pesawat garuda itu sedang dalam proses negosiasi business tapi business b b antara boeing dengan garuda jadi nanti teknisnya kita tunggu perkembangan selanjutnya ujar airlangga usai sosialisasi tarif trump bersama asosiasi pengusaha di kantor kemenko bidang perekonomian jakarta senin juli seperti dikutip dari antara annisa febiola adil al hasan dan ilona estherina berkontribusi dalam penulisan artikel ini,Neutral,train
bos garuda beri sinyal turunkan harga tiket pesawat jelang nataru loading a a a jakarta pt garuda indonesia persero tbk berencana menurunkan harga tiket pesawat menejelang natal dan tahun baru nataru saat ini prosesnya masih dibahas perseroan dan pemerintah direktur utama garuda indonesia wamildan tsani panjaitan mengungkapkan ada beberapa skema yang dikaji untuk digunakan sebab itu belum ada finalisasi penurunan tarif tiket pesawat diumumkan kita akan mendukung perintah dari presiden untuk menurunkan harga tiket kalau untuk skema skemanya nanti akan disampaikan kira kira dalam minggu ini tentunya di periode nataru nanti akan kita sampaikan ucap wamildan saat ditemui di gedung kementerian bumn ditulis rabu baca juga bos baru garuda indonesia bakal tambah banyak pesawat di menurut dia kebijakan menurunkan harga tiket pesawat garuda indonesia harus didasarkan pada hitungan yang tepat sehingga tidak menekan arus kas atau cash flow emiten bersandi saham giaa direktur utama garuda indonesia wamildan tsani panjaitan mengungkapkan ada beberapa skema yang dikaji untuk digunakan sebab itu belum ada finalisasi penurunan tarif tiket pesawat diumumkan kita akan mendukung perintah dari presiden untuk menurunkan harga tiket kalau untuk skema skemanya nanti akan disampaikan kira kira dalam minggu ini tentunya di periode nataru nanti akan kita sampaikan ucap wamildan saat ditemui di gedung kementerian bumn ditulis rabu baca juga bos baru garuda indonesia bakal tambah banyak pesawat di menurut dia kebijakan menurunkan harga tiket pesawat garuda indonesia harus didasarkan pada hitungan yang tepat sehingga tidak menekan arus kas atau cash flow emiten bersandi saham giaa lihat juga,Positive,train
garuda indonesia bantah berikan tiket gratis seumur hidup untuk bayi yang lahir di pesawat suara com seorang warganet baru baru ini membagikan pengalaman hidupnya yang mendapat hak istimewa dari maskapai penerbangan garuda ia mengaku bisa naik pesawat garuda seumur hidupnya tanpa membayar sepeser pun bukan tanpa sebab rupanya warganet yang diketahui bernama john ini lahir di pesawat garuda pada silam hal ini dibagikannya melalui unggahan akun tiktok mjohngaruda pada juli dalam unggahan tersebut ia bercerita bahwa dirinya lahir ketika ibunya sedang berada di dalam pesawat garuda perbesar warganet naik pesawat garuda gratis tiktok mjohngaruda alhasil ia mendapat semacam hadiah dari maskapai tersebut dengan mengizinkannya naik pesawat garuda secara gratis lahir di pesawat garuda dalam keadaan prematur dan dapat reward naik pesawat kemanapun gratis tanpa biaya sepeser pun dan bisa menyandang nama besar seperti garuda tulisnya tak hanya itu pria yang lahir pada desember tersebut juga diberi nama lengkap muhammad john garuda putra meski mendapat hak istimewa namun john menyebut terdapat limit pemakaian artinya ia tidak bisa sesuka hati naik pesawat garuda unggahan yang telah ditonton sebanyak lebih dari juta penayangan itu pun menuai beragam komentar dari publik besok kalau sudah nikah suruh lahiran di bank ah biar bisa ambil uang sepuasnya tulis akun ham baca juga jadi proyek percontohan ribu siswa di tangerang bakal dapat makan siang gratis terima kasih insightnya aku jadi kepikiran besok mau lahiran di pesawat juga komentar rim privilegenya enggak main main tambah bill pihak garuda indonesia lantas merespon kabar viral tersebut dari pesan singkat tersebut akun instagram garuda indonesia menjelaskan pihaknya belum ada memberikan apresiasi berupa tiket penerbangan gratis ke bayi yang lahir di pesawat selamat siang kak hingga saat ini garuda indonesia belum ada kebijakan memberikan apresiasi berupa tiket penerbangan gratis untuk bayi yang lahir di pesawat terima kasih tegasnya,Neutral,train
viral penumpang garuda indonesia merokok di pesawat terancam kena denda rp miliar larangan merokok di pesawat diatur dalam undang undang dengan sanksi berat demi keselamatan dan kenyamanan penumpang sebuah video yang menunjukkan seorang penumpang kelas bisnis garuda indonesia kedapatan menggunakan rokok elektrik di dalam pesawat viral di media sosial kejadian tersebut terjadi pada penerbangan enggak rute jakarta medan kualanamu direktur utama garuda indonesia wamildan tsani menegaskan bahwa pihaknya telah mengambil tindakan tegas terhadap penumpang yang melanggar aturan tersebut wamildan menjelaskan bahwa awak pesawat telah mengikuti prosedur yang berlaku dengan memberikan teguran verbal dua kali kepada penumpang yang bersangkutan mengacu pada ketentuan terkait penumpang yang mengganggu disruptive passenger adapun penumpang bersangkutan setibanya di bandara kualanamu langsung dijemput oleh tim avsec untuk pelaksanaan prosedur investigasi lebih lanjut kata wamildan dalam keterangannya sabtu merokok di dalam pesawat udara di indonesia dilarang tegas dan diatur dalam undang undang nomor tahun tentang penerbangan khususnya pasal ayat dan pasal larangan ini sejalan dengan standar internasional dari organisasi penerbangan sipil internasional icao yang telah diadopsi oleh banyak negara di dunia pelanggaran terhadap larangan ini dapat berakibat sangat serius baik bagi pelanggar itu sendiri maupun bagi keselamatan semua penumpang dan awak kabin dalam konteks ini sanksi yang diterapkan bagi mereka yang melanggar larangan merokok di pesawat sangatlah berat denda maksimal yang dapat dikenakan mencapai rp miliar dan pelanggar dapat dijatuhi hukuman penjara selama maksimal tahun ini menunjukkan betapa seriusnya pemerintah dalam menegakkan aturan demi keselamatan penerbangan larangan merokok di pesawat bukan tanpa alasan terdapat beberapa faktor penting yang mendasari keputusan ini termasuk keselamatan kesehatan dan kenyamanan penumpang lainnya faktor keselamatan dalam larangan merokok keselamatan adalah alasan utama di balik larangan merokok di pesawat rokok merupakan sumber potensial kebakaran terutama di lingkungan kabin pesawat yang kering dalam situasi darurat memadamkan kebakaran di dalam pesawat sangat sulit dan dapat membahayakan keselamatan semua penumpang serta awak kabin oleh karena itu larangan ini diambil untuk mencegah kemungkinan terjadinya insiden yang dapat mengancam nyawa selain itu sirkulasi udara di dalam pesawat juga menjadi perhatian residu asap rokok dapat mengotori saluran udara mengganggu kinerja filter dan menurunkan efisiensi sistem sirkulasi udara hal ini dapat menyebabkan kualitas udara di dalam kabin menurun yang berdampak negatif pada kesehatan penumpang dampak kesehatan bagi penumpang asap rokok mengandung banyak bahan kimia berbahaya yang dapat membahayakan kesehatan penumpang lain terutama bagi mereka yang memiliki masalah pernapasan seperti asma atau bronkitis paparan asap rokok dapat menyebabkan iritasi pada saluran pernapasan dan memperburuk kondisi kesehatan yang sudah ada oleh karena itu larangan ini juga bertujuan untuk melindungi kesehatan semua penumpang di dalam pesawat di samping itu kenyamanan penumpang juga menjadi pertimbangan penting asap rokok dapat mengganggu kenyamanan penumpang lain yang tidak merokok karena bau dan iritasi yang ditimbulkannya larangan merokok di pesawat menciptakan lingkungan yang lebih nyaman bagi semua orang yang berada di dalam kabin aturan dan regulasi terkait rokok elektrik berdasarkan surat edaran se djpu penumpang diperkenankan membawa maksimal satu rokok elektrik dalam kondisi tertentu seperti baterai terlepas dan kapasitas baterai maksimal wh cairan isi ulang rokok elektrik yang dibawa pun dibatasi hingga ml dan harus dikemas dalam kantung plastik meskipun rokok elektrik boleh dibawa ke dalam pesawat penggunaannya tetap dilarang garuda indonesia sebagai salah satu maskapai penerbangan terbesar di indonesia menegaskan komitmennya untuk selalu mengutamakan keselamatan keamanan dan kenyamanan penerbangan sesuai regulasi yang berlaku pihak maskapai mengungkapkan penyesalan atas insiden pelanggaran larangan merokok dan menekankan bahwa merokok termasuk penggunaan rokok elektrik di dalam kabin pesawat merupakan pelanggaran serius yang tidak ditoleransi,Negative,train
ambon kompas com pesawat garuda indonesia dengan nomor penerbangan gia tujuan jakarta ambon gagal mendarat di bandar udara pattimura ambon sabtu sore penerbangan terpaksa dialihkan ke bandara haluoleo kendari akibat angin kencang dan hujan deras yang melanda wilayah ambon hanya satu penerbangan yang batal divert tapi kendari kdi karena tailwind kecepatan angin knot kata rahmat sugeng widianand legal compliance and stakeholder relation department head pt angkasa pura i cabang bandara pattimura kepada kompas com baca juga iphone raib di enggak garuda sebut awak kabin tak terbukti terlibat gandeng bareskrim kecepatan angin melebihi batas aman rahmat menjelaskan bahwa cuaca di kota ambon selama dua hari terakhir tergolong ekstrem dengan hujan tanpa henti dan angin kencang puncaknya terjadi pada sabtu sore ketika kecepatan angin mencapai knot melebihi batas aman knot untuk pendaratan pesawat garuda seharusnya mendarat pukul wit tapi karena cuaca buruk pesawat dialihkan ke kendari saat ini pesawat belum kembali ke ambon ujar rahmat bandara tetap siaga meski hanya satu penerbangan yang terdampak pihak bandara pattimura tetap siaga menghadapi kemungkinan cuaca ekstrem lanjutan informasi keberangkatan selanjutnya masih menunggu perkembangan kondisi cuaca,Negative,train
liputan com jakarta viral di media sosial pesawat garuda indonesia penerbangan surabaya menuju bandara soekarno hatta dikabarkan tak bisa terbang akibat mesin pesawat mati managemen garuda indonesia pun buka suara dalam pesan di media sosial seorang penumpang membagikan pengalamannya yang sempat panik di atas udara karena kabarnya mesin pesawat mati dan harus putar balik ke bandara asal yakni surabaya corporate secretary group head garuda indonesia cahyadi indrananto menjelaskan kejadian tersebut terjadi pada rabu malam september penerbangan enggak dengan rute surabaya jakarta itu sempat lepas landas dari bandara internasional juanda surabaya pada pukul wib advertisement tapi tak lama kemudian pesawat harus melakukan return tapi base rtb dan mendarat kembali di surabaya pada pukul wib garuda indonesia memohon maaf atas ketidaknyamanan yang dialami penumpang dalam penerbangan tersebut dan memastikan seluruh penumpang telah mendapatkan service recovery sesuai dengan aturan yang berlaku ujar cahyadi dalam keterangan tertulis jumat pesawat berjenis boeing ng dengan registrasi pakai gmc tersebut sebelumnya telah menjalani prosedur pre flight dan dinyatakan laik untuk terbang,Negative,train
koni garuda indonesia cooperate for supporting pon tangerang banten antara the indonesian national sports committee koni established cooperation with national airline carrier garuda indonesia for air transportation for contingents during the aceh north sumatra national sports wig pon the two inked the cooperation agreement at the gmf aeroasia hangar ini cengkareng on monday the signing was carried out by koni chairman marciano norman and garuda indonesia president director irfan setiaputra cooperation ini the field of transportation especially aviation requires detailed coordination between koni and garuda indonesia garuda indonesia can provide assistance ini the ease of air transportation for the contingents norman remarked he expressed hope that the collaboration between koni and garuda indonesia also with its subsidiary citilink would support the implementation of the aceh north sumatra pon i hope that this collaboration with garuda indonesia and citilink can assist ini the implementation of the st pon he remarked pon is the first time that the sports event will be held ini two provinces some provinces including the papuan new autonomous regions dobs and the nusantara national capital ikn with defile status will participate ini the pon ini the st pon some sports categories will be competed ini aceh and other categories ini north sumatra and itu will be the last pon tapi be held during the administration of president joko widodo and vice president sama ruf amin the cooperation between koni and garuda indonesia will last for the next four years norman is upbeat that this collaboration would be able tapi proffer benefits not only for the pon but also for other sports events such as the indonesian martial art games imag and the indonesian beach games pon beach garuda indonesia will provide several benefits for athletes participating ini the pon such as offering special prices ticket flexibility and special check ini counters translator fajar si kenzu editor rahmad nasution copyright antara,Positive,train
pt garuda indonesia tbk giaa meminda tambahan armada pesawat kepada sejumlah lessor bisnis com jakarta maskapai penerbangan pelat merah pt garuda indonesia tbk giaa merayu sejumlah lessor pesawat untuk menyediakan tambahan armada bagi perseroan direktur utama garuda indonesia wamildan tsani panjaitan menyebut dia dan tim garuda telah bertemu beberapa pimpinan lessor penyedia pesawat di sela sela agenda airline economics growth frontier global conference di irlandia saya jelaskan mengenai tingginya kebutuhan armada untuk dapat melayani rute rute baik domestik maupun luar negeri kata wamildan dalam keterangannya rabu bos giaa tersebut bertemu dengan beberapa lessor seperti embraer air lease corporation aircraft leasing management aercap dan smbc aviation capital wamildan menyebutkan sebagian dari lessor tersebut telah siap menyediakan tambahan armada untuk mendukung garuda indonesia sebelumnya giaa mengikuti forum di dublin irlandia untuk membahas bisnis aviasi global giaa menargetkan untuk dapat memperoleh berbagai peluang pembiayaan armada dan memperluas kerja sama maskapai ini adalah forum penting bagi pelaku sektor aviasi di dunia termasuk maskapai pengelola pesawat keuangan dan manajemen aset mohon dukungan agar giaa dapat membawa manfaat dari kegiatan ini bagi para pelanggan setia kami kata dia adapun dalam agenda tersebut para pemodal dan lessor industri penerbangan global berkumpul untuk pertemuan tahunan di dublin pada hari senin pertemuan tersebut terjadi bertepatan dengan suku bunga sewa pesawat yang kuat dan harga minyak yang relatif stabil tetapi menghadapi ketidakpastian atas kekurangan jet dan ketegangan perdagangan para lessor melihat nilai sewa dan penjualan kembali pesawat jet meningkat karena maskapai penerbangan mencoba memenuhi permintaan baru di saat yang sama ketika pembuat pesawat berjuang untuk pulih dari pandemi covid,Positive,train
kompas com garuda indonesia kembali menyuguhkan hidangan khas aceh dan sumatera utara pada penerbangan jakarta aceh pergi pulang pp dan jakarta medan pp menu tersebut merupakan bagian dari program garuda rasa yang sudah diadakan sejak juli baca juga menurut direktur utama garuda indonesia irfan setiaputra program ini menekankan konsep indonesian hospitality di seluruh touch point layanan salah satunya di hidangan ini flight meals pada rute domestik dan rute internasional program garuda rasa dirancang untuk memberikan kesan autentik untuk merasakan menu khas indonesia di udara yang diharapkan dapat menjadi pengalaman tersendiri bagi pengguna jasa merasakan secara utuh sentuhan indonesia mulai dari pre flight ini flight hingga post flight terang irfan lewat keterangan resmi dikutip selasa adapun beberapa menu khas aceh yang bisa dinikmati pada penerbangan jakarta aceh pp antara lain mie aceh daging sapi nasi kuning ikan aceh nasi ayam kurma nasi ayam kari nasi ayam peulemak nangka nasi goreng aceh ayam tangkap nasi ikan bumbu kuning mie aceh ayam baca juga resep mi goreng aceh bumbu medok hidangan spesial di akhir pekan sementara itu beberapa menu khas sumatera utara yang bisa disantap pada penerbangan jakarta medan pp di antaranya nasi goreng medan nasi lemak mie gomak lontong medan nasi ayam ungkep medan nasi empal balado nasi ayam andaliman nasi ikan pepes medan nasi kalio daging nasi ikan arsik nasi daging cabe hijau nasi ayam tangkap baca juga makanan khas aceh saat lebaran yang wajib dicoba wikimedia commons alf van beem ilustrasi pesawat airbus a garuda indonesia ilustrasi pesawat airbus a garuda indonesia untuk diketahui sebelumnya program garuda rasa menyajikan menu khas kalimantan pada penerbangan dari dan ke balikpapan kalimantan timur ada pula suguhan signature indonesia dish berupa menu nasi padang dan nasi kapau khas sumatera barat pada penerbangan amsterdam jakarta untuk kelas bisnis dalam program ini maskapai penerbangan tersebut menyajikan makanan dan minuman dalam empat konsep penyajian ini flight catering rinciannya sebagai berikut konsep garuda signature dish hidangan eksklusif untuk penerbangan internasional konsep garuda thematic dish hidangan tematik yang unik untuk penerbangan domestik konsep garuda kudapan nusantara aneka kudapan tradisional indonesia konsep garuda chef ini the sky akan hadir koki dalam penerbangan guna menyuguhkan pengalaman gourmet di udara ke depannya kami juga akan menjajaki berbagai opsi kuliner nusantara lainnya yang sejalan dengan rencana eksplorasi jaringan penerbangan yang kami miliki lanjut irfan baca juga,Positive,train
garuda indonesia diproyeksi operasikan pesawat hingga jakart antara pt garuda indonesia persero tbk diproyeksikam mengoperasikan sekitar pesawat terbang dalam lima tahun ke depan atau pada direktur utama garuda indonesia wamildan tsani optimistis target tersebut dapat tercapai dengan dukungan awal pinjaman pemegang saham shareholder loan senilai rp triliun dari danantara indonesia garuda indonesia memproyeksikan akan mengoperasikan total sekitar pesawat hingga tahun ke depan ujar wamildan di jakarta selasa baca juga kementerian ham garuda indonesia jalin kerja sama penyebaran nilai ham ia juga memproyeksikan tahun akan menjadi titik balik bagi garuda indonesia setelah mendapat dukungan pembiayaan dari danantara lebih lanjut kata wamildan garuda indonesia optimistis langkah strategis ini akan membukukan pendapatan positif bagi perseroan langkah ini dirancang untuk mengukuhkan posisi maskapai sebagai pemain utama di transportasi udara selain itu kemitraan dengan danantara akan mendorong percepatan akselerasi kinerja garuda indonesia sebagai nasional flag carrier yang kuat dan berdaya saing tinggi baca juga gaji pramugari di indonesia dari maskapai garuda hingga airasia kemitraan dengan danantara juga akan memastikan agar garuda indonesia dapat memberikan kontribusi terbaiknya dalam pembangunan ekonomi yang inklusif dan berkelanjutan langkah penguatan yang didukung danantara berfokus pada akselerasi kinerja dan ekspansi jaringan untuk memperkuat daya saing dan optimalisasi alat produksi kami optimistis kita akan membukukan net income yang positif dan ini menjadi bagian dari peningkatan dan optimasi dari operasional perusahaan katanya baca juga garuda hentikan sementara rute jakarta doha demi keselamatan penumpang wamildan menekankan bahwa kemitraan strategis ini telah disiapkan berdasarkan kajian yang mendalam dan menyeluruh dengan mengedepankan prinsip tata kelola yang baik termasuk dengan memperhatikan aspek aspek transparansi dan akuntabilitas pewarta maria cicilia galuh prayudhia editor zaenal abidin copyright antara dilarang keras mengambil konten melakukan crawling atau pengindeksan otomatis untuk ai di situs web ini tanpa izin tertulis dari kantor berita antara,Positive,train
