content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,content_cleaned,content_cleaned_stopwords,tokens,clean_tokens,stemmed_tokens,final_text,text_length,score_label
sangat membantu,5,0,2.3.5,2025-09-21 11:44:22,,,sangat membantu,membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu,1,Positive
mntap,5,0,2.3.5,2025-09-21 07:25:55,,,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,1,Positive
membantu sekali baik,5,0,2.3.5,2025-09-21 05:03:59,,,membantu sekali baik,membantu baik,"['membantu', 'sekali', 'baik']","['membantu', 'baik']","['bantu', 'baik']",bantu baik,2,Positive
ngeleg,1,0,2.3.5,2025-09-18 07:57:40,,,ngeleg,ngeleg,['ngeleg'],['ngeleg'],['ngeleg'],ngeleg,1,Negative
sangat membantu sekali ,5,0,2.3.5,2025-09-17 16:08:37,,,sangat membantu sekali,membantu,"['sangat', 'membantu', 'sekali']",['membantu'],['bantu'],bantu,1,Positive
tracking busnya bermasalah terus..,2,0,2.3.5,2025-09-17 00:40:42,,,tracking bus bermasalah terus,tracking bus bermasalah,"['tracking', 'bus', 'bermasalah', 'terus']","['tracking', 'bus', 'bermasalah']","['tracking', 'bus', 'masalah']",tracking bus masalah,3,Negative
aplikasi ini sangat membantu pengguna kendaraan umum,5,0,,2025-09-16 23:54:23,,,aplikasi ini sangat membantu pengguna kendaraan umum,aplikasi membantu pengguna kendaraan,"['aplikasi', 'ini', 'sangat', 'membantu', 'pengguna', 'kendaraan', 'umum']","['aplikasi', 'membantu', 'pengguna', 'kendaraan']","['aplikasi', 'bantu', 'guna', 'kendara']",aplikasi bantu guna kendara,4,Positive
aplikasinya sering trouble dan lag jadi gabisa liat bis nya sampai mana,3,0,2.3.5,2025-09-16 23:17:39,,,aplikasi sering trouble dan lag jadi gabisa lihat bus nya sampai mana,aplikasi trouble lag gabisa lihat bus,"['aplikasi', 'sering', 'trouble', 'dan', 'lag', 'jadi', 'gabisa', 'lihat', 'bus', 'nya', 'sampai', 'mana']","['aplikasi', 'trouble', 'lag', 'gabisa', 'lihat', 'bus']","['aplikasi', 'trouble', 'lag', 'gabisa', 'lihat', 'bus']",aplikasi trouble lag gabisa lihat bus,6,Neutral
"bagus, tp kursng lengkap terutama info rute, bisa diupdate berkala sepertinya",5,0,,2025-09-16 03:17:17,,,bagus tapi kursng lengkap terutama info rute bisa diupdate berkala sepertinya,bagus kursng lengkap info rute diupdate berkala,"['bagus', 'tapi', 'kursng', 'lengkap', 'terutama', 'info', 'rute', 'bisa', 'diupdate', 'berkala', 'sepertinya']","['bagus', 'kursng', 'lengkap', 'info', 'rute', 'diupdate', 'berkala']","['bagus', 'kursng', 'lengkap', 'info', 'rute', 'diupdate', 'kala']",bagus kursng lengkap info rute diupdate kala,7,Positive
membantu aku mengecek bis apakah sudah lewat atau belum,5,0,2.3.5,2025-09-11 10:49:05,,,membantu saya mengecek bus apakah sudah lewat atau belum,membantu mengecek bus,"['membantu', 'saya', 'mengecek', 'bus', 'apakah', 'sudah', 'lewat', 'atau', 'belum']","['membantu', 'mengecek', 'bus']","['bantu', 'ecek', 'bus']",bantu ecek bus,3,Positive
"tracking lebih lambat satu menit, kalo di bawah 30 detik sih gak masalah, sering kali error juga pas mau lihat rute, bahkan di puterin sampe naik turun banyak halte maubitu non/transit. saran ku sih sambil iklanin event yang ada di daerah jogja, lumayan bisha meningkatkan pariwisata kota",4,0,2.3.5,2025-09-11 10:16:12,,,tracking lebih lambat satu menit kalau di bawah detik sih tidak masalah sering kali error juga pas mau lihat rute bahkan di puterin sampai naik turun banyak halte maubitu non transit saran ku sih sambil iklanin event yang ada di daerah transjogja lumayan bisha meningkatkan pariwisata kota,tracking lambat menit detik kali error pas lihat rute puterin turun halte maubitu non transit saran ku iklanin event daerah transjogja lumayan bisha meningkatkan pariwisata kota,"['tracking', 'lebih', 'lambat', 'satu', 'menit', 'kalau', 'di', 'bawah', 'detik', 'sih', 'tidak', 'masalah', 'sering', 'kali', 'error', 'juga', 'pas', 'mau', 'lihat', 'rute', 'bahkan', 'di', 'puterin', 'sampai', 'naik', 'turun', 'banyak', 'halte', 'maubitu', 'non', 'transit', 'saran', 'ku', 'sih', 'sambil', 'iklanin', 'event', 'yang', 'ada', 'di', 'daerah', 'transjogja', 'lumayan', 'bisha', 'meningkatkan', 'pariwisata', 'kota']","['tracking', 'lambat', 'menit', 'detik', 'kali', 'error', 'pas', 'lihat', 'rute', 'puterin', 'turun', 'halte', 'maubitu', 'non', 'transit', 'saran', 'ku', 'iklanin', 'event', 'daerah', 'transjogja', 'lumayan', 'bisha', 'meningkatkan', 'pariwisata', 'kota']","['tracking', 'lambat', 'menit', 'detik', 'kali', 'error', 'pas', 'lihat', 'rute', 'puterin', 'turun', 'halte', 'maubitu', 'non', 'transit', 'saran', 'ku', 'iklanin', 'event', 'daerah', 'transjogja', 'lumayan', 'bisha', 'tingkat', 'pariwisata', 'kota']",tracking lambat menit detik kali error pas lihat rute puterin turun halte maubitu non transit saran ku iklanin event daerah transjogja lumayan bisha tingkat pariwisata kota,26,Positive
good,5,0,2.3.5,2025-09-11 08:23:58,,,good,good,['good'],['good'],['good'],good,1,Positive
